,Recall,Country,Training Size
80,0.3691542288557214,ar,8192
81,0.630126953125,ca,8192
82,0.548828125,am,8192
83,0.42748091603053434,cl,8192
84,0.4658246656760773,vn,8192
85,0.628662109375,fr,8192
86,0.6060606060606061,hr,8192
87,0.593994140625,ru,8192
88,0.69091796875,jp,8192
89,0.59521484375,kg,8192
90,0.6829195333532755,fi,8192
91,0.6246819338422391,gr,8192
92,0.635009765625,ua,8192
93,0.64453125,pt,8192
94,0.61181640625,us,8192
95,0.591796875,th,8192
96,0.45569620253164556,pe,8192
97,0.48366013071895425,br,8192
98,0.7794811320754716,si,8192
99,0.5673789795028347,at,8192
100,0.6174934725848564,mx,8192
101,0.529296875,kz,8192
102,0.65625,cy,8192
103,0.702533969886155,au,8192
104,0.6484375,se,8192
105,0.7963525835866262,sa,8192
106,0.6771300448430493,nz,8192
107,0.49241044323011535,ch,8192
108,0.4754521963824289,eg,8192
109,0.46496815286624205,is,8192
110,0.60107421875,ee,8192
111,0.9921875,mn,8192
112,0.5026486168334314,id,8192
113,0.7005217391304348,no,8192
114,0.75439453125,md,8192
115,0.5556640625,by,8192
116,0.49208534067446663,in,8192
117,0.7572205943909586,bg,8192
118,0.5295551492992078,ae,8192
119,0.48828125,rs,8192
120,0.60546875,pl,8192
121,0.56787109375,ge,8192
122,0.61474609375,il,8192
123,0.5373514431239389,be,8192
124,0.4936868686868687,lu,8192
125,0.561767578125,gb,8192
126,0.7002022244691608,sk,8192
127,0.8317073170731707,do,8192
128,0.9825918762088974,mk,8192
129,0.529029029029029,az,8192
130,0.637065637065637,ie,8192
131,0.5493757094211124,me,8192
132,0.5887850467289719,tj,8192
133,0.791748046875,uz,8192
134,0.57847533632287,dk,8192
135,0.568115234375,lt,8192
136,0.7235434007134364,kr,8192
137,0.74951171875,it,8192
138,0.616729088639201,ro,16384
139,0.5244140625,tr,16384
140,0.631103515625,de,16384
141,0.596435546875,cz,16384
142,0.5515418502202644,hu,16384
143,0.557373046875,cn,16384
144,0.618408203125,nl,16384
145,0.642333984375,lv,16384
146,0.523681640625,es,16384
147,0.4793187347931874,lk,16384
148,0.7416452442159382,sg,16384
149,0.3691542288557214,ar,16384
150,0.637451171875,ca,16384
151,0.552978515625,am,16384
152,0.42748091603053434,cl,16384
153,0.4658246656760773,vn,16384
154,0.62353515625,fr,16384
155,0.6060606060606061,hr,16384
156,0.609130859375,ru,16384
157,0.711669921875,jp,16384
158,0.600830078125,kg,16384
159,0.6850134609632067,fi,16384
160,0.6259541984732825,gr,16384
161,0.65087890625,ua,16384
162,0.6650390625,pt,16384
163,0.6142578125,us,16384
164,0.608154296875,th,16384
165,0.45569620253164556,pe,16384
166,0.48366013071895425,br,16384
167,0.7794811320754716,si,16384
168,0.5791539467945922,at,16384
169,0.6135770234986945,mx,16384
170,0.5390625,kz,16384
171,0.647216796875,cy,16384
172,0.7095115681233933,au,16384
173,0.649658203125,se,16384
174,0.7963525835866262,sa,16384
175,0.6782511210762332,nz,16384
176,0.50394656952034,ch,16384
